count,price_surface
1,6
2,7
2,8
2,9
4,10
3,12
3,14
4,15
7,16
21,17
25,18
40,19
152,20
202,21
288,22
475,23
605,24
796,25
928,26
994,27
1101,28
1021,29
1136,30
1017,31
985,32
874,33
674,34
742,35
608,36
554,37
450,38
368,39
494,40
307,41
319,42
228,43
194,44
243,45
179,46
130,47
129,48
53,49
189,50
63,51
101,52
60,53
37,54
73,55
43,56
43,57
29,58
33,59
32,60
35,61
25,62
19,63
7,64
20,65
12,66
13,67
17,68
2,69
18,70
5,71
4,72
5,73
5,74
3,75
2,76
3,77
2,78
8,80
6,81
3,82
10,83
2,85
1,91
2,94
2,95
1,97
1,100
1,105
2,106
1,108
2,121
1,123
2,125
1,133
2,135
2,153
